State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,sex_ratio,literacy rate
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,371973,6984,236,2387,113,10,7,164445,11987,152458,98989,10693,1574,79146,6281,1019.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,2540763,57973,20745,6373,2979,2357,29122,737806,188174,549632,552992,498469,8566,519704,30892,1030.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,777188,10425,2644,1196,667,3612,3685,210481,41792,168689,58581,207633,1016,148926,4804,990.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,3129745,83499,24304,24276,19587,17209,42569,883189,349741,533448,458040,397416,16141,614109,51289,1012.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,629509,15336,189588,474,467,694,14835,226392,20722,205670,48844,530378,567,76783,5755,995.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,1133176,30195,21059,3666,897,753,15649,332653,126055,206598,124679,493559,4544,202380,18004,1032.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,604259,25878,9398,1391,84,1155,15474,181615,59763,121852,54776,304280,1667,80023,7609,1033.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,1008061,12570,5284,2941,521,1495,1417,310567,35774,274793,139581,279896,961,212487,5614,983.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,1422986,17332,47653,2117,781,409,1782,420916,66638,354278,224942,505609,3342,297308,13857,1009.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,2239370,227465,17452,7477,121791,12260,1159,959028,377160,581868,134952,305125,38570,547206,96301,1042.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,3881485,103038,23181,16707,8397,17137,10680,1068500,395001,673499,724250,476446,20261,728556,59523,1016.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2126195,81442,97432,2303,1287,623,48295,590763,65167,525596,115652,1300628,2737,253131,18983,1023.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,171537,16087,2618,169,216,244,79,71079,61073,10006,4262,15240,1316,49249,4543,1874.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,2397056,334858,2586,1110,1291,3841,77,776743,287506,489237,265793,55571,6628,498326,26991,1049.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,622213,57941,134169,618,553,546,166,325089,209230,115859,17606,56606,23440,173951,56266,1038.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,341664,63623,231961,855,542,563,92,251493,162873,88620,7843,92669,17624,138810,44299,1014.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,6042416,883238,50754,14542,4518,209287,2055,2198552,1845383,353169,759483,89138,126341,1456046,273651,1106.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,1410463,99105,919,415,243,2053,40,430613,116899,313714,132915,7322,2538,273331,12765,1038.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1798794,250919,29789,1524,267,8591,142,621987,208909,413078,104465,24824,9902,378310,32523,1081.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,2890305,213505,1686,486,281,12659,83,804197,137424,666773,327460,284155,3424,396873,23149,1066.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,1188204,343511,9494,1733,442,4813,342,481996,181319,300677,62235,488194,10257,309091,29531,1081.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,2632574,212863,3457,1410,445,26974,127,744077,356826,387251,157034,9110,7297,500757,28925,1072.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,1319586,57273,3237,1985,497,6405,82,433258,195634,237624,108608,18204,12107,262539,33662,1084.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1810443,320805,4392,1873,1086,18856,136,646325,299167,347158,173895,24187,11573,386538,30384,1065.0,65.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,2397056,334858,2586,1110,1291,3841,77,776743,287506,489237,265793,55571,6628,498326,26991,1049.0,67.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1608921,442355,6192,6353,490,25312,98,739275,250982,488293,258859,24228,9631,403294,31961,1102.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,2000884,264482,26629,1403,300,3479,82,622026,160547,461479,115631,40336,5710,372226,24502,1064.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1885732,136431,1954,1082,146,7087,88,659743,183738,476005,162288,9392,7759,385609,33731,1080.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,559848,22600,4413,147,80,373,2078,160369,22248,138121,8733,481392,576,101940,4081,1041.0,63.0
