State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Other Religion,Households,Urban Households,Rural Households,SC,ST,Households with Internet,Housholds with Electric Lighting,Households with Computer,Total Power Parity,Non Workers,sex_ratio,literacy rate,GDP Per Capita,Unemployment Rate
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,849518,16558,12450,436,297,1789,170533,316932,37258,279674,48425,610528,912,143803,9042,1043,495256,992.0,57.0,0.0009887146235916977,46.94792422066442
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,1192588,125548,1120,849,242,19029,77,384119,81832,302287,249024,33092,2324,239885,12507,1475,660688,1038.0,62.0,0.0011004087552250765,49.28995658794206
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1875495,76159,1092,557,3234,6681,92,414586,95288,319298,421519,17030,1781,131486,20172,1924,1289977,1190.0,60.0,0.000978651759691145,65.61529423134635
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,741288,67324,1508,1110,224,14165,115,242197,67962,174235,111162,71441,1945,145258,8342,1026,407385,1048.0,62.0,0.0012420300048301166,49.31621769178529
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,974748,35214,418,186,37,4734,218,288923,32179,256744,207990,170879,653,76097,8501,1034,584522,1104.0,54.0,0.0010171959233463187,57.50226262149294
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,1195235,120331,1725,2262,253,10637,190,325713,74441,251272,225891,205006,1141,194373,9931,1460,813759,1109.0,62.0,0.0010964278231326745,61.11150746059055
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,1433879,106928,1243,460,121,1599,50,401717,69823,331894,295718,53751,1611,231130,12718,1629,800211,1046.0,52.0,0.0010538137188562144,51.76631858684162
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,1267043,151071,3996,1353,175,29353,123,373867,107151,266716,198612,409865,3644,213825,14905,1700,764089,1030.0,57.0,0.0011683294744098047,52.51221763366548
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,2268838,85414,1964,832,986,655,232,618399,94489,523910,383508,311985,3406,251132,31194,2756,1373160,1075.0,61.0,0.0011652754675688954,58.05913138776867
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,2198297,103480,5580,4146,991,62992,168,613915,165507,448408,501630,221936,4546,366494,24811,2771,1372423,1119.0,65.0,0.0011650405430745467,57.70221715077584
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,2158623,59471,2228,1163,364,3135,1689,576004,114173,461831,398569,319975,3754,294702,22751,2641,1317586,1080.0,62.0,0.0011848708015262895,59.11280499431343
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,1163607,137980,1404,640,357,6232,66,329647,59220,270427,271281,145512,1566,212138,11166,1442,725245,1089.0,60.0,0.0010996452462076727,55.30597895879914
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,1145052,79739,1857,360,7288,4982,135315,382587,47542,335045,130797,519856,1182,228695,10417,1369,694697,1018.0,63.0,0.0009926540698454317,50.37208212997895
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,997073,42426,2372,912,268,1737,19448,291440,57846,233594,89733,476008,1733,113184,10817,1302,573006,1027.0,57.0,0.001221316188630503,53.74973148866437
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,1321003,174724,815,631,179,13755,66,386608,73997,312611,353914,37836,1382,232735,10797,1647,794810,1066.0,59.0,0.00108879532432813,52.543133681192536
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,638702,41396,230,6387,201,379,40,176522,26376,150146,108391,161448,273,74770,5393,693,410406,1110.0,48.0,0.001007470986144003,59.6640891110268
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,1648749,51200,1117,7151,3421,12171,72,434618,66759,367859,321515,227802,1852,148128,15304,1827,966769,1141.0,52.0,0.001058486138871991,56.010486370614984
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,1077545,34419,511,128,92,93,12556,276869,25916,250953,130202,313304,837,102228,10790,3019,665273,1045.0,53.0,0.002678714820240401,59.02870634666421
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,1383475,44143,588,251,109,15569,39,382992,60220,322772,361604,67857,1090,132725,10899,1591,789848,1110.0,52.0,0.0011009115907791907,54.65448259923081
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1718204,233133,4659,3241,945,24622,211,489449,188684,300765,523869,48730,7501,323379,27733,2599,1089422,1047.0,62.0,0.001308091545269329,54.83123152868037
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,620515,15966,667,190,70,220,6028,168066,29966,138100,58147,300687,839,67975,6360,692,355067,1053.0,55.0,0.0010732709016406156,55.06980913769197
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,1287391,149548,1313,914,295,18490,70,376409,83830,292579,292144,67603,1926,181510,12888,1583,908473,1116.0,59.0,0.0010850826835746724,62.27216176848599
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,1107809,357253,4483,1504,328033,10205,389,504235,196077,308158,364059,100280,6163,314490,24232,3948,1045752,1058.0,78.0,0.002176518518600192,57.65194006745664
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,2055177,421410,7223,2242,383891,11360,3288,781815,272894,508921,506374,404128,9438,512492,36185,6236,1652123,1052.0,78.0,0.002158947115143269,57.197661717637
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2291133,237353,2218,295,334,775,19,477297,49006,428291,612064,1033,2362,44456,31168,2215,1702303,1080.0,58.0,0.00087202218203965,67.01787704526602
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,2545438,786677,15991,5142,309093,30981,1005,979132,427343,551789,539368,143366,23258,589477,69937,8119,2126203,1083.0,68.0,0.0021935642839426986,57.44504201517204
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,1009352,26502,2145,831,154458,1017,3555,356418,72575,283843,200372,88886,2932,227025,13165,2237,603029,1018.0,75.0,0.001863647951320216,50.238433635971326
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,2174672,320395,2097,824,68482,8719,399,698571,135457,563114,351254,32722,5614,402052,29198,4179,1329501,1092.0,66.0,0.0016166037858469993,51.430398417979696
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1845424,354236,3531,1668,364229,12242,522,728192,152787,575405,470895,124837,4767,423036,24877,4421,1366617,1071.0,73.0,0.0017094195552029225,52.84147985235812
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1780085,92297,10701,5251,286734,3861,23188,684655,233331,451324,348365,389441,8239,418666,31419,5085,1146135,1040.0,72.0,0.0023068474581807346,51.99525292983237
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1825460,187901,3653,1422,13405,12818,912,528790,146013,382777,127571,647315,6065,315332,27139,3583,1114492,1057.0,63.0,0.0017470702563117362,54.34261300857883
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,1153861,26157,1827,2160,125282,1568,5080,386515,66813,319702,175961,214253,2866,239981,13595,2183,657088,1001.0,76.0,0.0016506528887937834,49.6850300225254
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,863199,127552,992,643,176679,5278,103,284369,41913,242456,182565,111954,1221,159114,9676,1853,608163,1062.0,67.0,0.0015738802135312928,51.65546207781067
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,3457615,560261,7091,3091,143865,27404,9662,1169788,373565,796223,389273,604367,14297,720791,56775,7988,2366346,1081.0,68.0,0.0018884531304042137,55.943083516768766
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1504641,274221,12542,1629,152540,9619,336,502830,98084,404746,272266,42263,3791,288895,17236,3363,1028160,1067.0,61.0,0.00171665188055819,52.48268800222149
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,3379906,286558,15573,1570,29766,154882,1274,1179314,382818,796496,504461,30206,22269,770005,71879,8464,2171947,1045.0,73.0,0.00218369396705522,56.035769856612525
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,2006984,367664,2387,935,66535,6387,310,585632,157016,428616,480913,57488,6217,381722,29758,4574,1407339,1078.0,67.0,0.0018637468238070635,57.344197447962586
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,3492202,390974,34667,20469,668050,24528,12181,1308366,877522,430844,867713,437571,57964,917626,135750,14073,2785010,1051.0,79.0,0.003024129861590134,59.846741319030336
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,2501741,471951,3902,13540,354189,5049,1273,821682,230563,591119,640483,281695,7548,488748,43055,6214,1867339,1061.0,65.0,0.00184869389508558,55.55420356220168
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,1521618,96182,8467,685,4969,6191,2907,405012,71572,333440,47985,1141933,2579,186202,17047,2446,856230,1022.0,55.0,0.001483957665345099,51.94640522479289
